"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
1000,5,9,505,"MGWR",0.450368499785961,NA,1.04616134905714,0.0619550016444827
1000,5,10,606,"BSGL",0.12757558484962,0.995,0.205338221606865,0.0561762605590468
1000,5,10,606,"GGP-GAM",0.124000831459153,NA,0.102168678275973,0.0159474381599135
1000,5,10,606,"GSVC",0.133507858245286,0.935,0.139941650535741,0.104518247427314
1000,5,10,606,"MGWR",0.674778769760616,NA,0.779792529119335,0.0296317123694391
1000,10,1,42,"BSGL",0.165014581037657,0.99,0.220061629580268,0.0517684501897124
1000,10,1,42,"GGP-GAM",0.154546367529042,NA,0.120411201597138,0.0229664832972629
1000,10,1,42,"GSVC",0.232691848133694,0.93,0.131419005561986,0.132023493493948
1000,10,1,42,"MGWR",0.609048762771062,NA,0.985047670506786,0.0732186396203916
1000,10,2,123,"BSGL",0.163798474754878,1,0.26849083165779,0.0756988649031813
