"n","p","Method","MSPE","Coverage","MSE_1","MSE_0","MSE_avg"
1000,5,"GGP-GAM",0.138728201043411,NA,0.132752859237805,0.00471603356410188,0.0815381289683239
1000,5,"GSVC",0.164263604124301,0.925,0.17389723789638,0.0426513959472557,0.12139890111673
1000,5,"BSGL",0.162081429974972,0.925,0.175169860535152,0.0290946722583723,0.11673978522444
